12.7877 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
68.8696 	EXP 	New trial (rep=16, index=0): None
68.8705 	DATA 	Keypress: down
68.8842 	EXP 	fixation: autoDraw = False
68.8842 	EXP 	grating: autoDraw = False
68.8842 	EXP 	grating: ori = 3.0
68.8842 	EXP 	fixation: autoDraw = True
69.8835 	EXP 	fixation: autoDraw = False
69.8835 	EXP 	grating: autoDraw = True
70.1832 	EXP 	grating: autoDraw = False
70.3025 	EXP 	New trial (rep=17, index=0): None
70.3036 	DATA 	Keypress: up
70.3168 	EXP 	fixation: autoDraw = False
70.3168 	EXP 	grating: autoDraw = False
70.3168 	EXP 	grating: ori = 2.0
70.3168 	EXP 	fixation: autoDraw = True
71.3157 	EXP 	fixation: autoDraw = False
71.3157 	EXP 	grating: autoDraw = True
71.6156 	EXP 	grating: autoDraw = False
71.7168 	EXP 	New trial (rep=18, index=0): None
71.7183 	DATA 	Keypress: down
71.7318 	EXP 	fixation: autoDraw = False
71.7318 	EXP 	grating: autoDraw = False
71.7318 	EXP 	grating: ori = 0.0
71.7318 	EXP 	fixation: autoDraw = True
72.7312 	EXP 	fixation: autoDraw = False
72.7312 	EXP 	grating: autoDraw = True
73.0309 	EXP 	grating: autoDraw = False
73.2333 	EXP 	New trial (rep=19, index=0): None
73.2344 	DATA 	Keypress: up
73.2474 	EXP 	fixation: autoDraw = False
73.2474 	EXP 	grating: autoDraw = False
73.2474 	EXP 	grating: ori = -3.0
73.2474 	EXP 	fixation: autoDraw = True
74.2467 	EXP 	fixation: autoDraw = False
74.2467 	EXP 	grating: autoDraw = True
74.5465 	EXP 	grating: autoDraw = False
74.6660 	EXP 	New trial (rep=20, index=0): None
74.6673 	DATA 	Keypress: up
74.6795 	EXP 	fixation: autoDraw = False
74.6795 	EXP 	grating: autoDraw = False
74.6795 	EXP 	grating: ori = 0.0
74.6795 	EXP 	fixation: autoDraw = True
75.6789 	EXP 	fixation: autoDraw = False
75.6789 	EXP 	grating: autoDraw = True
75.9783 	EXP 	grating: autoDraw = False
76.0632 	EXP 	New trial (rep=21, index=0): None
76.0641 	DATA 	Keypress: up
76.0782 	EXP 	fixation: autoDraw = False
76.0782 	EXP 	grating: autoDraw = False
76.0782 	EXP 	grating: ori = 0.0
76.0782 	EXP 	fixation: autoDraw = True
77.0777 	EXP 	fixation: autoDraw = False
77.0777 	EXP 	grating: autoDraw = True
77.3773 	EXP 	grating: autoDraw = False
77.4971 	EXP 	New trial (rep=22, index=0): None
77.4984 	DATA 	Keypress: down
77.5106 	EXP 	fixation: autoDraw = False
77.5106 	EXP 	grating: autoDraw = False
77.5106 	EXP 	grating: ori = 2.0
77.5106 	EXP 	fixation: autoDraw = True
78.5099 	EXP 	fixation: autoDraw = False
78.5099 	EXP 	grating: autoDraw = True
78.8098 	EXP 	grating: autoDraw = False
78.9455 	EXP 	New trial (rep=23, index=0): None
78.9465 	DATA 	Keypress: up
78.9592 	EXP 	fixation: autoDraw = False
78.9592 	EXP 	grating: autoDraw = False
78.9592 	EXP 	grating: ori = 3.0
78.9592 	EXP 	fixation: autoDraw = True
79.9587 	EXP 	fixation: autoDraw = False
79.9587 	EXP 	grating: autoDraw = True
80.2581 	EXP 	grating: autoDraw = False
80.6120 	EXP 	New trial (rep=24, index=0): None
80.6134 	DATA 	Keypress: down
80.6245 	EXP 	fixation: autoDraw = False
80.6245 	EXP 	grating: autoDraw = False
80.6245 	EXP 	grating: ori = 0.0
80.6245 	EXP 	fixation: autoDraw = True
81.6239 	EXP 	fixation: autoDraw = False
81.6239 	EXP 	grating: autoDraw = True
81.9237 	EXP 	grating: autoDraw = False
82.2092 	EXP 	New trial (rep=25, index=0): None
82.2100 	DATA 	Keypress: up
82.2233 	EXP 	fixation: autoDraw = False
82.2233 	EXP 	grating: autoDraw = False
82.2233 	EXP 	grating: ori = 4.0
82.2233 	EXP 	fixation: autoDraw = True
83.2223 	EXP 	grating: autoDraw = True
83.2392 	EXP 	fixation: autoDraw = False
83.5222 	EXP 	grating: autoDraw = False
83.6075 	EXP 	New trial (rep=26, index=0): None
83.6084 	DATA 	Keypress: up
83.6220 	EXP 	fixation: autoDraw = False
83.6220 	EXP 	grating: autoDraw = False
83.6220 	EXP 	grating: ori = -2.0
83.6220 	EXP 	fixation: autoDraw = True
84.6214 	EXP 	fixation: autoDraw = False
84.6214 	EXP 	grating: autoDraw = True
84.9211 	EXP 	grating: autoDraw = False
85.1079 	EXP 	New trial (rep=27, index=0): None
85.1092 	DATA 	Keypress: up
85.1210 	EXP 	fixation: autoDraw = False
85.1210 	EXP 	grating: autoDraw = False
85.1210 	EXP 	grating: ori = 0.0
85.1210 	EXP 	fixation: autoDraw = True
86.1203 	EXP 	fixation: autoDraw = False
86.1203 	EXP 	grating: autoDraw = True
86.4199 	EXP 	grating: autoDraw = False
86.5210 	EXP 	New trial (rep=28, index=0): None
86.5216 	DATA 	Keypress: down
86.5363 	EXP 	fixation: autoDraw = False
86.5363 	EXP 	grating: autoDraw = False
86.5363 	EXP 	grating: ori = 0.0
86.5363 	EXP 	fixation: autoDraw = True
87.5359 	EXP 	fixation: autoDraw = False
87.5359 	EXP 	grating: autoDraw = True
87.8354 	EXP 	grating: autoDraw = False
87.8546 	EXP 	New trial (rep=29, index=0): None
87.8557 	DATA 	Keypress: up
87.8685 	EXP 	fixation: autoDraw = False
87.8685 	EXP 	grating: autoDraw = False
87.8685 	EXP 	grating: ori = 0.0
87.8685 	EXP 	fixation: autoDraw = True
88.8679 	EXP 	fixation: autoDraw = False
88.8679 	EXP 	grating: autoDraw = True
89.1677 	EXP 	grating: autoDraw = False
89.2532 	EXP 	New trial (rep=30, index=0): None
89.2543 	DATA 	Keypress: up
89.2675 	EXP 	fixation: autoDraw = False
89.2675 	EXP 	grating: autoDraw = False
89.2675 	EXP 	grating: ori = 3.0
89.2675 	EXP 	fixation: autoDraw = True
90.2667 	EXP 	fixation: autoDraw = False
90.2667 	EXP 	grating: autoDraw = True
90.5664 	EXP 	grating: autoDraw = False
90.8025 	EXP 	New trial (rep=31, index=0): None
90.8036 	DATA 	Keypress: down
90.8162 	EXP 	fixation: autoDraw = False
90.8162 	EXP 	grating: autoDraw = False
90.8162 	EXP 	grating: ori = 4.0
90.8162 	EXP 	fixation: autoDraw = True
91.8155 	EXP 	fixation: autoDraw = False
91.8155 	EXP 	grating: autoDraw = True
92.1154 	EXP 	grating: autoDraw = False
92.1195 	EXP 	New trial (rep=32, index=0): None
92.1207 	DATA 	Keypress: up
92.1319 	EXP 	fixation: autoDraw = False
92.1319 	EXP 	grating: autoDraw = False
92.1319 	EXP 	grating: ori = 0.0
92.1319 	EXP 	fixation: autoDraw = True
93.1314 	EXP 	grating: autoDraw = True
93.1479 	EXP 	fixation: autoDraw = False
93.4308 	EXP 	grating: autoDraw = False
93.6341 	EXP 	New trial (rep=33, index=0): None
93.6352 	DATA 	Keypress: up
93.6474 	EXP 	fixation: autoDraw = False
93.6474 	EXP 	grating: autoDraw = False
93.6474 	EXP 	grating: ori = -2.0
93.6474 	EXP 	fixation: autoDraw = True
94.6468 	EXP 	fixation: autoDraw = False
94.6468 	EXP 	grating: autoDraw = True
94.9464 	EXP 	grating: autoDraw = False
95.1833 	EXP 	New trial (rep=34, index=0): None
95.1845 	DATA 	Keypress: up
95.1961 	EXP 	fixation: autoDraw = False
95.1961 	EXP 	grating: autoDraw = False
95.1961 	EXP 	grating: ori = 0.0
95.1961 	EXP 	fixation: autoDraw = True
95.5642 	DATA 	Keypress: down
96.1954 	EXP 	fixation: autoDraw = False
96.1954 	EXP 	grating: autoDraw = True
96.4951 	EXP 	grating: autoDraw = False
97.1805 	EXP 	New trial (rep=35, index=0): None
97.1817 	DATA 	Keypress: down
97.1943 	EXP 	fixation: autoDraw = False
97.1943 	EXP 	grating: autoDraw = False
97.1943 	EXP 	grating: ori = -4.0
97.1943 	EXP 	fixation: autoDraw = True
98.1937 	EXP 	fixation: autoDraw = False
98.1937 	EXP 	grating: autoDraw = True
98.4935 	EXP 	grating: autoDraw = False
98.6461 	EXP 	New trial (rep=36, index=0): None
98.6473 	DATA 	Keypress: down
98.6599 	EXP 	fixation: autoDraw = False
98.6599 	EXP 	grating: autoDraw = False
98.6599 	EXP 	grating: ori = 2.0
98.6599 	EXP 	fixation: autoDraw = True
99.6590 	EXP 	fixation: autoDraw = False
99.6590 	EXP 	grating: autoDraw = True
99.9588 	EXP 	grating: autoDraw = False
100.1118 	EXP 	New trial (rep=37, index=0): None
100.1131 	DATA 	Keypress: down
100.1252 	EXP 	fixation: autoDraw = False
100.1252 	EXP 	grating: autoDraw = False
100.1252 	EXP 	grating: ori = 3.0
100.1252 	EXP 	fixation: autoDraw = True
101.1245 	EXP 	grating: autoDraw = True
101.1413 	EXP 	fixation: autoDraw = False
101.4244 	EXP 	grating: autoDraw = False
101.4942 	EXP 	New trial (rep=38, index=0): None
101.4954 	DATA 	Keypress: down
101.5072 	EXP 	fixation: autoDraw = False
101.5072 	EXP 	grating: autoDraw = False
101.5072 	EXP 	grating: ori = 0.0
101.5072 	EXP 	fixation: autoDraw = True
102.5068 	EXP 	fixation: autoDraw = False
102.5068 	EXP 	grating: autoDraw = True
102.8064 	EXP 	grating: autoDraw = False
103.0931 	EXP 	New trial (rep=39, index=0): None
103.0945 	DATA 	Keypress: down
103.1062 	EXP 	fixation: autoDraw = False
103.1062 	EXP 	grating: autoDraw = False
103.1062 	EXP 	grating: ori = 0.0
103.1062 	EXP 	fixation: autoDraw = True
104.1055 	EXP 	fixation: autoDraw = False
104.1055 	EXP 	grating: autoDraw = True
104.4051 	EXP 	grating: autoDraw = False
104.4081 	EXP 	New trial (rep=40, index=0): None
104.4094 	DATA 	Keypress: up
104.4219 	EXP 	fixation: autoDraw = False
104.4219 	EXP 	grating: autoDraw = False
104.4219 	EXP 	grating: ori = 2.0
104.4219 	EXP 	fixation: autoDraw = True
105.4213 	EXP 	grating: autoDraw = True
105.4379 	EXP 	fixation: autoDraw = False
105.7208 	EXP 	grating: autoDraw = False
105.9752 	EXP 	New trial (rep=41, index=0): None
105.9760 	DATA 	Keypress: up
105.9871 	EXP 	fixation: autoDraw = False
105.9871 	EXP 	grating: autoDraw = False
105.9871 	EXP 	grating: ori = 0.0
105.9871 	EXP 	fixation: autoDraw = True
106.9864 	EXP 	fixation: autoDraw = False
106.9864 	EXP 	grating: autoDraw = True
107.2862 	EXP 	grating: autoDraw = False
108.0043 	EXP 	New trial (rep=42, index=0): None
108.0052 	DATA 	Keypress: up
108.0189 	EXP 	fixation: autoDraw = False
108.0189 	EXP 	grating: autoDraw = False
108.0189 	EXP 	grating: ori = 4.0
108.0189 	EXP 	fixation: autoDraw = True
109.0179 	EXP 	fixation: autoDraw = False
109.0179 	EXP 	grating: autoDraw = True
109.3179 	EXP 	grating: autoDraw = False
109.4192 	EXP 	New trial (rep=43, index=0): None
109.4199 	DATA 	Keypress: down
109.4341 	EXP 	fixation: autoDraw = False
109.4341 	EXP 	grating: autoDraw = False
109.4341 	EXP 	grating: ori = 0.0
109.4341 	EXP 	fixation: autoDraw = True
110.4338 	EXP 	fixation: autoDraw = False
110.4338 	EXP 	grating: autoDraw = True
110.7335 	EXP 	grating: autoDraw = False
110.8516 	EXP 	New trial (rep=44, index=0): None
110.8525 	DATA 	Keypress: up
110.8664 	EXP 	fixation: autoDraw = False
110.8664 	EXP 	grating: autoDraw = False
110.8664 	EXP 	grating: ori = 2.0
110.8664 	EXP 	fixation: autoDraw = True
111.8658 	EXP 	fixation: autoDraw = False
111.8658 	EXP 	grating: autoDraw = True
112.1655 	EXP 	grating: autoDraw = False
112.3352 	EXP 	New trial (rep=45, index=0): None
112.3364 	DATA 	Keypress: down
112.3485 	EXP 	fixation: autoDraw = False
112.3485 	EXP 	grating: autoDraw = False
112.3485 	EXP 	grating: ori = 0.0
112.3485 	EXP 	fixation: autoDraw = True
113.3478 	EXP 	fixation: autoDraw = False
113.3478 	EXP 	grating: autoDraw = True
113.6471 	EXP 	grating: autoDraw = False
113.9001 	EXP 	New trial (rep=46, index=0): None
113.9011 	DATA 	Keypress: up
113.9142 	EXP 	fixation: autoDraw = False
113.9142 	EXP 	grating: autoDraw = False
113.9142 	EXP 	grating: ori = 0.0
113.9142 	EXP 	fixation: autoDraw = True
114.9131 	EXP 	grating: autoDraw = True
114.9298 	EXP 	fixation: autoDraw = False
115.2131 	EXP 	grating: autoDraw = False
115.5973 	EXP 	New trial (rep=47, index=0): None
115.5980 	DATA 	Keypress: up
115.6124 	EXP 	fixation: autoDraw = False
115.6124 	EXP 	grating: autoDraw = False
115.6124 	EXP 	grating: ori = 0.0
115.6124 	EXP 	fixation: autoDraw = True
116.6119 	EXP 	fixation: autoDraw = False
116.6119 	EXP 	grating: autoDraw = True
116.9119 	EXP 	grating: autoDraw = False
117.2319 	EXP 	New trial (rep=48, index=0): None
