trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
77,0,77,0,165.77150179998716,166.78748039998754,166.77072190000035,down,1,0.9107124000001932,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
78,0,78,0,167.70308359999035,168.702289199995,168.702289199995,down,1,0.7961540999967838,-5,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
79,0,79,0,169.51831309999397,170.51781279999705,170.51781279999705,up,1,0.7226073000056203,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
80,0,80,0,171.2667359999905,172.2661836999905,172.2661836999905,down,1,0.7904779999953462,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
81,0,81,0,173.08220140000049,174.09759369998937,174.08103989998926,up,1,0.7404456999938702,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
82,0,82,0,174.84701679999125,175.84624169999734,175.84624169999734,up,0,0.511072499997681,1,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
83,0,83,0,176.379299799999,177.37835199999972,177.37835199999972,up,1,0.5675239999982296,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
84,0,84,0,177.97803509999358,178.9774286999891,178.9774286999891,down,1,0.6736997999978485,-4,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
85,0,85,0,179.67660399999295,180.67584959999658,180.67584959999658,down,1,0.8450307000020985,-5,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
86,0,86,0,181.54166969998914,182.54082959999505,182.54082959999505,up,1,0.7697712999943178,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
87,0,87,0,183.3400404999993,184.33954899999662,184.33954899999662,down,1,0.8899754000012763,-3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
88,0,88,0,185.25528729999496,186.27092519999132,186.25433599999815,down,1,0.8567129000002751,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
89,0,89,0,187.1369893999945,188.1363338999945,188.1363338999945,up,1,0.5328292999911355,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
90,0,90,0,188.68557819999114,189.6851292999927,189.6851292999927,down,1,0.8520347000012407,-2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
91,0,91,0,190.56778319999285,191.56721709998965,191.56721709998965,down,1,0.7247969000018202,-5,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
92,0,92,0,192.31621499999892,193.31562080000003,193.31562080000003,up,1,0.7262212000059662,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
93,0,93,0,194.06496289999632,195.06412149999232,195.06412149999232,up,0,0.6294193000067025,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
94,0,94,0,195.7133785999904,196.71266829999513,196.71266829999513,up,0,0.8331051999994088,2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
95,0,95,0,197.5618536999973,198.561125799999,198.561125799999,up,1,0.7397414000006393,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
96,0,96,0,199.32714479998685,200.32622899999842,200.32622899999842,down,0,0.8420814999990398,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
97,0,97,0,201.1921360999986,202.19145279999066,202.19145279999066,up,1,0.6579657000111183,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
98,0,98,0,202.87419139999838,203.87337049999041,203.87337049999041,down,1,0.9825602000055369,4,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
99,0,99,0,204.8725262999942,205.8717248999892,205.8717248999892,up,1,0.8850333000009414,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
